Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2492589,2104057,2219779,2151091
Depreciation & amortization,-,4033394,3547173,3503898
Stock based compensation,-,36252,31358,30232
Change in working capital,-,-1880274,1086820,-3373678
Inventory,-,1768,-1206,-386
Other working capital,-,5176209,7147064,3024762
Other non-cash items,-,479018,339276,215201
Net cash provided by operating activites,-,5176209,7147064,3024762
Acquisitions net,-,-,-305830,-
Purchases of investments,-,-758050,-325266,-
Sales/Maturities of investments,-,-,1,-
Other investing activites,-,-12733042,-4752703,-3048752
Net cash used for investing activites,-,-13490607,-5383192,-3048146
Net change in cash,-,1167262,-1105458,-260797
Cash at beginning of period,-,4608382,5713841,5974638
Cash at end of period,-,5824573,4608382,5713841
Operating Cash Flow,-,5176209,7147064,3024762
Free Cash Flow,-,5176209,7147064,3024762
