Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-10119,-10119,-21712,-8729,-8456
Acquisitions net,-45645,-45645,-,-,-
Sales/Maturities of investments,-1991,-1991,7164,-,-
Other investing activites,323,323,-17,117,-
Net cash used for investing activites,-56149,-56149,-14565,-8612,-8020
Debt repayment,-32054,-32054,-157500,-68300,-144500
Common stock issued,57325,57325,-,-,-
Dividends Paid,-,-,-3094,-,-
Net cash used privided by (used for) financing activities,51271,51271,-2137,2000,-59500
Net change in cash,27052,27052,1187,-733,-543
Cash at beginning of period,6572,6572,5383,6116,6634
Cash at end of period,33635,33635,6572,5383,6116
Capital Expenditure,-10119,-10119,-21712,-8729,-8456
Free Cash Flow,21811,21811,-3823,-2850,58521
