Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,24842,69731,27522,15206,18283
Income Before Tax,20086,64698,22912,10764,13613
Income Tax Expense,5328,19785,6670,2970,4049
Income from Continuing Operations,14758,44913,16242,7794,9564
Net Income,14758,44913,16242,7794,9564
Net Income available to common shareholders,14758,44913,16242,7794,9564
Basic EPS,-,0.32,0.11,0.05,0.08
Diluted EPS,-,0.32,0.11,0.05,0.08
Basic Average Shares,-,141671,143440,143289,113724
Diluted Average Shares,-,141671,143440,143289,113724
