Breakdown,ttm,8/31/2019,8/31/2018,8/31/2017
Net Income,834175,573084,566949,155454
Depreciation & amortization,2173757,2048183,1670872,1755998
Change in working capital,-133149,-330564,-256237,78744
Inventory,-61988,-56910,-248076,-43437
Other working capital,-1460529,-2087979,411599,-299286
Other non-cash items,-74285,178078,52369,-137859
Net cash provided by operating activites,2849993,2298969,2166305,1634968
Investments in property plant and equipment,-4310522,-4386948,-1754706,-1934254
Purchases of investments,-3206,-5287,-4713,-49205
Sales/Maturities of investments,390665,179596,369920,462579
Other investing activites,-23314,-24702,-12867,-21713
Net cash used for investing activites,-3942087,-4235803,-1401573,-1542484
Net change in cash,708728,-31241,312877,-1020322
Cash at beginning of period,2184836,3054563,2741686,3762008
Cash at end of period,2899083,3023321,3054563,2741686
Operating Cash Flow,2849993,2298969,2166305,1634968
Capital Expenditure,-4310522,-4386948,-1754706,-1934254
Free Cash Flow,-1460529,-2087979,411599,-299286
