Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-805.905,-858.652
Net cash used for investing activites,-805.905,-858.652
Common stock issued,5193,7410
Net cash used privided by (used for) financing activities,5181,7410
Net change in cash,-158.725,4367
Cash at beginning of period,6039,52.401
Cash at end of period,5880,4419
Capital Expenditure,-805.905,-858.652
Free Cash Flow,-5339,-3043
