Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,395689,392358,194639,304719
Depreciation & amortization,-,184032,178626,126883
Change in working capital,-,-771293,-669485,368130
Inventory,-,-241657,23079,44419
Other working capital,-,-206482,-512649,723982
Other non-cash items,-,67021,98265,9361
Net cash provided by operating activites,-,2525,-230008,836880
Investments in property plant and equipment,-,-209007,-282641,-112898
Purchases of investments,-,-10134,-9637,-9321
Sales/Maturities of investments,-,-,30400,-
Other investing activites,-,-2165,54142,-50396
Net cash used for investing activites,-,-218789,-207486,-171260
Net change in cash,-,137603,-543829,395607
Cash at beginning of period,-,2239865,2783695,2388087
Cash at end of period,-,2377469,2239865,2783695
Operating Cash Flow,-,2525,-230008,836880
Capital Expenditure,-,-209007,-282641,-112898
Free Cash Flow,-,-206482,-512649,723982
