Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,672104,600526,500360,419095
Depreciation & amortization,-,351590,303886,213627
Stock based compensation,-,8930,-,-
Change in working capital,-,-33889,-279838,-190045
Other working capital,-,678928,-230504,-334026
Other non-cash items,-,176995,77882,34771
Net cash provided by operating activites,-,1106485,628055,421328
Investments in property plant and equipment,-,-427557,-858559,-755354
Acquisitions net,-,-,-10000,-
Purchases of investments,-,-50855,-200000,-
Other investing activites,-,-150492,-79384,-145284
Net cash used for investing activites,-,-740494,-1147943,-900638
Net change in cash,-,585953,165540,-353932
Cash at beginning of period,-,803217,627682,981615
Cash at end of period,-,1389171,793223,627682
Operating Cash Flow,-,1106485,628055,421328
Capital Expenditure,-,-427557,-858559,-755354
Free Cash Flow,-,678928,-230504,-334026
