Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1003,-996.005,-2955,-3446,-2119
Other investing activites,-,-,237.994,-,100
Net cash used for investing activites,501.99,-970.096,-2717,-3396,-2017
Common stock issued,-,-,3400,5553,-
Common stock repurchased,-,-,-241.658,-408.36,-
Net cash used privided by (used for) financing activities,-,-,3158,5145,-
Net change in cash,2174,-1685,56.065,1376,-1131
Cash at beginning of period,1978,2890,2834,1457,2588
Cash at end of period,4152,1205,2890,2834,1457
Capital Expenditure,-1003,-996.005,-2955,-3446,-2119
Free Cash Flow,-1669,-1711,-3340,-3818,-1232
