Breakdown,ttm,3/31/2019
Net Income,50780,34116
Change in working capital,4136,4515
Other working capital,25162,19547
Other non-cash items,72,178
Net cash provided by operating activites,25162,19547
Purchases of investments,-423571,-288004
Sales/Maturities of investments,37575,54671
Net cash used for investing activites,-385897,-233204
Net change in cash,51615,-11374
Cash at beginning of period,5584,30787
Cash at end of period,57199,19413
Operating Cash Flow,25162,19547
Free Cash Flow,25162,19547
