Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,5437000,5663000,5153000,3456000,3138000
Interest Expense,159000,155000,106000,73000,55000
Income Before Tax,2642000,2929000,1887000,1394000,1265000
Income Tax Expense,659000,721000,414000,522000,423000
Income from Continuing Operations,1983000,2208000,1473000,872000,842000
Net Income,1983000,2208000,1473000,872000,842000
Net Income available to common shareholders,1983000,2208000,1473000,872000,842000
Basic EPS,-,3.98,2.60,1.65,1.59
Diluted EPS,-,3.96,2.59,1.64,1.58
Basic Average Shares,-,555000,567000,529000,531000
Diluted Average Shares,-,557000,569000,531000,534000
