Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3898000,4335000,5774000,4324000
Depreciation & amortization,-,279000,279000,303000
Change in working capital,-,-4370000,6185000,3947000
Inventory,-,-677000,-,-
Other working capital,-,-122000,9463000,9843000
Other non-cash items,-,100000,-2228000,603000
Net cash provided by operating activites,-,572000,10421000,10086000
Investments in property plant and equipment,-,-694000,-958000,-243000
Purchases of investments,-,-84000,-67000,-22000
Sales/Maturities of investments,-,484000,-,-
Other investing activites,-,-46000,-10000,-17000
Net cash used for investing activites,-,-335000,-1000000,-177000
Net change in cash,-,-611000,6310000,5880000
Cash at beginning of period,-,35146000,28836000,22955000
Cash at end of period,-,34534000,35146000,28836000
Operating Cash Flow,-,572000,10421000,10086000
Capital Expenditure,-,-694000,-958000,-243000
Free Cash Flow,-,-122000,9463000,9843000
