Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-35588,16412,224003,-137988
Depreciation & amortization,-,619267,624061,607922
Change in working capital,-,-14589,-75271,-125220
Other working capital,-,502195,725348,-572146
Other non-cash items,-,483931,697315,559085
Net cash provided by operating activites,-,886646,1177152,604836
Investments in property plant and equipment,-,-384451,-451804,-1176982
Other investing activites,-,-19680,1410,43268
Net cash used for investing activites,-,-404131,-450394,-1133714
Net change in cash,-,-51255,182213,-77294
Cash at beginning of period,-,863027,680814,758108
Cash at end of period,-,811772,863027,680814
Operating Cash Flow,-,886646,1177152,604836
Capital Expenditure,-,-384451,-451804,-1176982
Free Cash Flow,-,502195,725348,-572146
