Breakdown,ttm,3/31/2019,3/31/2018
Net Income,3148000,68422000,72054000
Depreciation & amortization,-,8817000,280000
Change in working capital,-,-365288000,-87191000
Other working capital,-,-363693000,-89951000
Other non-cash items,-,-172165000,-81583000
Net cash provided by operating activites,-,-355929000,-89683000
Investments in property plant and equipment,-,-7764000,-268000
Purchases of investments,-,-388821000,-81017000
Sales/Maturities of investments,-,654936000,134748000
Other investing activites,-,-99000,-9000
Net cash used for investing activites,-,258829000,343140000
Net change in cash,-,-103997000,302636000
Cash at beginning of period,-,302636000,-
Cash at end of period,-,1134904000,302636000
Operating Cash Flow,-,-355929000,-89683000
Capital Expenditure,-,-7764000,-268000
Free Cash Flow,-,-363693000,-89951000
