Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,50269,50269,40284,33392,30914
Interest Expense,6576,6576,3926,2875,2523
Income Before Tax,16662,16662,12242,10089,7457
Income Tax Expense,3461,3461,2541,4653,2454
Income from Continuing Operations,13201,13201,9701,5436,5003
Net Income,13201,13201,9701,5436,5003
Net Income available to common shareholders,13201,13201,9701,5436,5003
Basic EPS,-,-,0.93,0.48,0.44
Diluted EPS,-,-,0.91,0.48,0.44
Basic Average Shares,-,-,10441,11403,11403
Diluted Average Shares,-,-,10609,11403,11403
