Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,964689,905288,846927
Liabilities,,,
Total Liabilities,157489,149993,75834
Stockholders' Equity,,,
Common Stock,8270,8270,8270
Total stockholders' equity,807200,755295,771093
Total liabilities and stockholders' equity,964689,905288,846927
