Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,1479002,1070947,901346
Liabilities,,,
Total Liabilities,23889,15184,6108
Stockholders' Equity,,,
Common Stock,766037,763016,760327
Total stockholders' equity,1455113,1055763,895238
Total liabilities and stockholders' equity,1479002,1070947,901346
