Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,137172,132980,276937,274060
Depreciation & amortization,-,7111,7054,7092
Change in working capital,-,385740,-1131069,302786
Other working capital,-82070,667208,-816497,561489
Other non-cash items,-,92517,-275874,-280650
Net cash provided by operating activites,-81185,668093,-815984,564337
Investments in property plant and equipment,-,-885,-513,-2848
Purchases of investments,-,-34,-,-
Other investing activites,-,-,-,140076
Net cash used for investing activites,-665,-919,18777,137234
Net change in cash,-173180,186586,-345740,-561741
Cash at beginning of period,399247,236356,582096,1143837
Cash at end of period,226067,422942,236356,582096
Operating Cash Flow,-81185,668093,-815984,564337
Capital Expenditure,-,-885,-513,-2848
Free Cash Flow,-82070,667208,-816497,561489
