Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-110230,-110230,72252,41452,-59434
Depreciation & amortization,-,-,34542,32428,33741
Change in working capital,-,-,-91158,-22495,-30588
Inventory,-,-,30801,-120798,24529
Other working capital,-,-,-81179,-21839,-74185
Other non-cash items,-,-,8798,8934,11958
Net cash provided by operating activites,-,-,-52942,53540,-54110
Investments in property plant and equipment,-,-,-28237,-75379,-20075
Acquisitions net,-,-,-4675,-1961,-6144
Other investing activites,-,-,-4571,-13286,-7781
Net cash used for investing activites,-,-,3406,-85812,-26770
Net change in cash,-,-,-113883,24303,-34909
Cash at beginning of period,-,-,234774,209009,242726
Cash at end of period,-,-,119879,234774,209009
Operating Cash Flow,-,-,-52942,53540,-54110
Capital Expenditure,-,-,-28237,-75379,-20075
Free Cash Flow,-,-,-81179,-21839,-74185
