Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,1062040,999717,872417
Liabilities,,,
Total Liabilities,188769,147227,94880
Stockholders' Equity,,,
Common Stock,519.51,519.51,519.51
Retained Earnings,355793,335058,260212
Total stockholders' equity,872221,851486,776641
Total liabilities and stockholders' equity,1062040,999717,872417
