Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-4591,-4591,-3189,-1141,-402.977
Acquisitions net,-1254,-1254,-,-,-
Other investing activites,-2780,-2780,-8972,-,-
Net cash used for investing activites,-8625,-8625,-12161,-1141,-402.977
Debt repayment,-1705,-1705,-,-,-
Common stock issued,81303,81303,58443,27959,-
Net cash used privided by (used for) financing activities,79598,79598,58443,27959,-
Net change in cash,37117,37117,30596,867.864,-3076
Cash at beginning of period,40538,40538,9990,8875,11894
Cash at end of period,77882,77882,40538,9990,8875
Capital Expenditure,-4591,-4591,-3189,-1141,-402.977
Free Cash Flow,-38447,-38447,-18875,-27091,-3076
