Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,15667440,15305952,14206717,13441422
Liabilities,,,,
Total Liabilities,13631429,13402741,12278462,11585949
Stockholders' Equity,,,,
Common Stock,136,136,136,135
Retained Earnings,762480,662375,544886,469505
Accumulated other comprehensive income,9149,-32705,-21781,-14657
Total stockholders' equity,2036011,1903211,1928255,1855473
Total liabilities and stockholders' equity,15667440,15305952,14206717,13441422
