Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4292000,4026000,3111000,2774000
Depreciation & amortization,-,568000,490000,361000
Change in working capital,-,-2711000,-766000,-3741000
Inventory,-,-570000,-380000,73000
Other working capital,-,-3461000,1409000,-5752000
Other non-cash items,-,585000,701000,-168000
Net cash provided by operating activites,-,2009000,3769000,-776000
Investments in property plant and equipment,-,-5470000,-2360000,-4976000
Acquisitions net,-,-,-,250000
Purchases of investments,-,-3477000,-73000,-67000
Sales/Maturities of investments,-,3313000,3000,112000
Other investing activites,-,-93000,-94000,-341000
Net cash used for investing activites,-,-5597000,-2517000,-5035000
Net change in cash,-,-1797000,246000,1712000
Cash at beginning of period,-,7295000,7048000,5336000
Cash at end of period,-,5497000,7295000,7048000
Operating Cash Flow,-,2009000,3769000,-776000
Capital Expenditure,-,-5470000,-2360000,-4976000
Free Cash Flow,-,-3461000,1409000,-5752000
