Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-155.2155,-155.2155,-234.7818,-287.1244
Sales/Maturities of investments,-,-,61.856,-
Other investing activites,-,-,61.856,448.1115
Net cash used for investing activites,-155.2155,-155.2155,-172.9258,160.9872
Debt repayment,-27.849,-27.849,-125.4619,-814.6872
Common stock issued,102.4236,102.4236,9343,4559
Other financing activites,-243.507,-243.507,-,-
Net cash used privided by (used for) financing activities,-168.9323,-168.9323,9218,3864
Net change in cash,-3866,-3866,4406,1415
Cash at beginning of period,5185,5185,1550,8.9744
Cash at end of period,1332,1332,5147,1402
Capital Expenditure,-155.2155,-155.2155,-234.7818,-287.1244
Free Cash Flow,-3697,-3697,-4873,-2898
