Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,176044366,137646425,117472283,111407601
Liabilities,,,,
Total Liabilities,154712196,118662820,98594850,94247695
Stockholders' Equity,,,,
Common Stock,7392092,7392092,7447305,7275738
Total stockholders' equity,21332170,18844934,18745028,17035050
Total liabilities and stockholders' equity,176044366,137646425,117472283,111407601
