Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,880545,665025,481425,436112
Liabilities,,,,
Total Liabilities,799881,619466,441164,396820
Stockholders' Equity,,,,
Common Stock,54,44,235,169
Retained Earnings,-2932,-12752,-17087,-17767
Accumulated other comprehensive income,28,-73,-47,2
Total stockholders' equity,80664,45559,40261,39292
Total liabilities and stockholders' equity,880545,665025,481425,436112
