Breakdown,ttm,6/30/2019
Total Revenue,3015,-5252
Interest Expense,1327,594.984
Income Before Tax,-1518,-3655
Income Tax Expense,-459.952,-1005
Income from Continuing Operations,-1058,-2650
Net Income,-1058,-2650
Net Income available to common shareholders,-1058,-2650
Basic EPS,-,-0.06
Diluted EPS,-,-0.06
Basic Average Shares,-,47386
Diluted Average Shares,-,47386
