Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-,-,-99.163,-72.988,-14.4
Acquisitions net,-,-,-50,-,-435.107
Purchases of investments,-,-,-,-120,-
Other investing activites,-,-,3.605,206.664,-
Net cash used for investing activites,-,-,-137.038,13.676,-449.507
Common stock issued,-,-,-,-,8289
Common stock repurchased,-,-,-,-547.8,-
Net cash used privided by (used for) financing activities,-,-,-,-547.8,8289
Net change in cash,-1896,-1896,-2202,-3094,7611
Cash at beginning of period,2315,2315,4516,7611,-
Cash at end of period,424.959,424.959,2315,4516,7611
Capital Expenditure,-,-,-99.163,-72.988,-14.4
Free Cash Flow,-1896,-1896,-2164,-2633,-243.425
