Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,9972000,9901000,9178000,10953000
Depreciation & amortization,13445000,13170000,11706000,11183000
Change in working capital,2760000,1545000,-7054000,3948000
Inventory,227000,-323000,-2813000,-452000
Other working capital,12167000,8066000,-9941000,3108000
Other non-cash items,-1504000,552000,628000,610000
Net cash provided by operating activites,24226000,25510000,13974000,25912000
Investments in property plant and equipment,-12059000,-17444000,-23915000,-22804000
Acquisitions net,-,-874000,-,-
Purchases of investments,-,-302000,-32000,-35000
Sales/Maturities of investments,-,-,119000,0
Other investing activites,376000,-31000,86000,157000
Net cash used for investing activites,-11688000,-17109000,-23656000,-21932000
Net change in cash,-672000,3492000,-2485000,3054000
Cash at beginning of period,17865000,15659000,18144000,15089000
Cash at end of period,17193000,19151000,15659000,18144000
Operating Cash Flow,24226000,25510000,13974000,25912000
Capital Expenditure,-12059000,-17444000,-23915000,-22804000
Free Cash Flow,12167000,8066000,-9941000,3108000
