Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-122759,-145016,-125265,-185491
Depreciation & amortization,-,399214,404603,383912
Change in working capital,-,-115033,86461,-94525
Inventory,-,69614,135204,76458
Other working capital,-,79924,-11949,93522
Other non-cash items,-,132431,94075,176243
Net cash provided by operating activites,-,129415,336703,284725
Investments in property plant and equipment,-,-49491,-348652,-191203
Purchases of investments,-,-786,-768,-748
Sales/Maturities of investments,-,31160,-,-
Other investing activites,-,-158392,480702,-376832
Net cash used for investing activites,-,-177509,133530,-275276
Net change in cash,-,-139172,70073,-747176
Cash at beginning of period,-,655188,585115,1332291
Cash at end of period,-,516016,655188,585115
Operating Cash Flow,-,129415,336703,284725
Capital Expenditure,-,-49491,-348652,-191203
Free Cash Flow,-,79924,-11949,93522
