Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,849902,912597,1246124,936593
Depreciation & amortization,-,1145532,983329,921073
Change in working capital,-,-1474930,-225367,191117
Inventory,-,-817836,-273236,-81780
Other working capital,-,-1145055,419360,1413995
Other non-cash items,-,21866,32831,20865
Net cash provided by operating activites,-,592341,2012025,2203308
Investments in property plant and equipment,-,-1737396,-1592665,-789313
Purchases of investments,-,-7439,-33506,-32808
Sales/Maturities of investments,-,234717,-,-
Other investing activites,-,25809,18990,8953
Net cash used for investing activites,-,-1238704,-1557564,-769269
Net change in cash,-,-1227026,1663486,449115
Cash at beginning of period,-,4085503,2422017,1972901
Cash at end of period,-,2858477,4085503,2422017
Operating Cash Flow,-,592341,2012025,2203308
Capital Expenditure,-,-1737396,-1592665,-789313
Free Cash Flow,-,-1145055,419360,1413995
