Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,129000,129000,125000,106000,125000
Depreciation & amortization,323000,323000,298000,300000,285000
Stock based compensation,11000,11000,10000,8000,6000
Change in working capital,107000,107000,-56000,-51000,-119000
Inventory,8000,8000,14000,-1000,-21000
Other working capital,272000,272000,104000,70000,30000
Other non-cash items,63000,63000,46000,75000,46000
Net cash provided by operating activites,510000,510000,330000,347000,298000
Investments in property plant and equipment,-238000,-238000,-226000,-277000,-268000
Acquisitions net,0,0,-24000,-55000,-22000
Purchases of investments,0,0,-9000,-,-
Other investing activites,-,-,-,-18000,0
Net cash used for investing activites,-217000,-217000,-244000,-336000,-267000
Net change in cash,-36000,-36000,18000,36000,-8000
Cash at beginning of period,76000,76000,59000,25000,32000
Cash at end of period,36000,36000,76000,59000,25000
Operating Cash Flow,510000,510000,330000,347000,298000
Capital Expenditure,-238000,-238000,-226000,-277000,-268000
Free Cash Flow,272000,272000,104000,70000,30000
