Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Investments in property plant and equipment,-21.085,-14.473,-17.594,-335.616
Sales/Maturities of investments,-,-,74.054,-
Net cash used for investing activites,-21.085,-14.473,56.46,-335.616
Debt repayment,-15.728,-15.092,-13.358,-12.678
Common stock issued,774.757,1161,-,-
Other financing activites,-,-,-,-12.485
Net cash used privided by (used for) financing activities,745.153,1146,-13.358,-25.163
Net change in cash,-1133,2.451,-2411,-3485
Cash at beginning of period,1552,700,3146,6709
Cash at end of period,419.881,528.017,792.446,3146
Capital Expenditure,-21.085,-14.473,-17.594,-335.616
Free Cash Flow,-1878,-1143,-2472,-3460
