Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,152987,189270,199194,226203
Liabilities,,,,
Total Liabilities,27530,33928,38439,47739
Stockholders' Equity,,,,
Common Stock,200293,201504,200892,194178
Retained Earnings,-82456,-64754,-60195,-29610
Accumulated other comprehensive income,7620,18592,20058,13896
Total stockholders' equity,125457,155342,160755,178464
Total liabilities and stockholders' equity,152987,189270,199194,226203
