Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4226000,7032000,10401000,7290000
Depreciation & amortization,-,9444000,8854000,7816000
Change in working capital,-,-1226000,-7302000,114000
Inventory,-,-2403000,-1896000,-183000
Other working capital,-,535000,-2626000,3464000
Other non-cash items,-,666000,114000,1302000
Net cash provided by operating activites,-,14614000,11814000,16058000
Investments in property plant and equipment,-,-14079000,-14440000,-12594000
Purchases of investments,-,-42000,-550000,-6000
Sales/Maturities of investments,-,29000,4227000,1143000
Other investing activites,-,-445000,1728000,-9000
Net cash used for investing activites,-,-14325000,-8566000,-11248000
Net change in cash,-,-689000,622000,1608000
Cash at beginning of period,-,20422000,19799000,18069000
Cash at end of period,-,19733000,20422000,19799000
Operating Cash Flow,-,14614000,11814000,16058000
Capital Expenditure,-,-14079000,-14440000,-12594000
Free Cash Flow,-,535000,-2626000,3464000
