Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,8162298,6683753,5391274
Liabilities,,,
Total Liabilities,732368,495997,517683
Stockholders' Equity,,,
Common Stock,73713,71086,71086
Total stockholders' equity,7429930,6187756,4873591
Total liabilities and stockholders' equity,8162298,6683753,5391274
