Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-1069,-2455,-1948
Acquisitions net,-,-,12.567
Other investing activites,-,-,-226.666
Net cash used for investing activites,-1069,-2455,-2162
Debt repayment,-,-,-229.504
Common stock issued,1284,821.209,6415
Common stock repurchased,-90.525,-37.858,-620.248
Net cash used privided by (used for) financing activities,1193,883.351,5566
Net change in cash,-467.883,-2488,2617
Cash at beginning of period,1135,2895,237.35
Cash at end of period,667.501,406.597,2895
Capital Expenditure,-1069,-2455,-1948
Free Cash Flow,-1661,-3372,-2735
