Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-10891,-10891,-2029,-3357,-19282
Net cash used for investing activites,25109,25109,-2029,-3357,-19282
Debt repayment,-,-,-,-20000,-15000
Dividends Paid,-38984,-38984,-27780,-25443,-23790
Other financing activites,-1694,-1694,-,-,-
Net cash used privided by (used for) financing activities,-20678,-20678,-12780,-45443,-38837
Net change in cash,15960,15960,-2781,-8065,1624
Cash at beginning of period,6613,6613,9394,17459,15835
Cash at end of period,22573,22573,6613,9394,17459
Capital Expenditure,-10891,-10891,-2029,-3357,-19282
Free Cash Flow,638,638,9999,37378,40461
