Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,8565758,7574258,7253156,7018952
Liabilities,,,,
Total Liabilities,7560769,6671469,6477527,6307858
Stockholders' Equity,,,,
Common Stock,32694,32604,31895,15811
Retained Earnings,815488,722615,638580,577648
Accumulated other comprehensive income,3454,-2139,-2327,94
Total stockholders' equity,1004989,902789,775629,711094
Total liabilities and stockholders' equity,8565758,7574258,7253156,7018952
