Breakdown,ttm,12/31/2018,12/31/2017,12/31/2016
Net Income,538255,624932,397778,30120
Depreciation & amortization,666787,653038,611399,526533
Change in working capital,-337505,-577149,-379987,-193201
Inventory,-48960,-320974,-265533,4416
Other working capital,-433472,-409273,-700356,-450519
Other non-cash items,326725,312568,276720,253328
Net cash provided by operating activites,1529733,1191682,677129,364823
Investments in property plant and equipment,-1963205,-1600955,-1377485,-815342
Acquisitions net,-142403,-128971,-,0
Purchases of investments,-51000,0,-34500,-
Other investing activites,-,-,83509,110535
Net cash used for investing activites,-1972190,-1543867,-1328476,-684367
Net change in cash,874087,4881,-171536,-68549
Cash at beginning of period,304991,341270,512806,581355
Cash at end of period,1179078,346151,341270,512806
Operating Cash Flow,1529733,1191682,677129,364823
Capital Expenditure,-1963205,-1600955,-1377485,-815342
Free Cash Flow,-433472,-409273,-700356,-450519
