Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,2197000,2197000,3775000,3386000,1809000
Depreciation & amortization,1553000,1553000,1333000,1265000,1289000
Change in working capital,111000,111000,-1862000,-804000,15000
Inventory,116000,116000,-1335000,-848000,-150000
Other working capital,1960000,1960000,723000,3575000,2801000
Other non-cash items,94000,94000,-461000,13000,74000
Net cash provided by operating activites,3621000,3621000,1955000,4404000,3487000
Investments in property plant and equipment,-1661000,-1661000,-1232000,-829000,-686000
Acquisitions net,-,-,-727000,-,-3115000
Purchases of investments,-124000,-124000,-870000,-754000,-280000
Sales/Maturities of investments,565000,565000,1200000,1309000,1716000
Other investing activites,2000,2000,-,-,-
Net cash used for investing activites,-992000,-992000,-1588000,-328000,-2341000
Net change in cash,832000,832000,-729000,2292000,99000
Cash at beginning of period,11563000,11563000,12293000,10000000,9901000
Cash at end of period,12396000,12396000,11563000,12293000,10000000
Operating Cash Flow,3621000,3621000,1955000,4404000,3487000
Capital Expenditure,-1661000,-1661000,-1232000,-829000,-686000
Free Cash Flow,1960000,1960000,723000,3575000,2801000
