Breakdown,ttm,6/30/2019,6/30/2018
Debt repayment,-,-500,-84.638
Common stock issued,-,3055,6611
Common stock repurchased,-,-,-812.273
Net cash used privided by (used for) financing activities,36.85,3030,5714
Net change in cash,-2210,95.698,234.107
Cash at beginning of period,2800,269.616,35.509
Cash at end of period,590.169,365.314,269.616
Free Cash Flow,-2247,-2934,-5479
