Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,28597566,26912353,26386764,24533222
Liabilities,,,,
Total Liabilities,22601803,21640838,21130993,19871727
Stockholders' Equity,,,,
Common Stock,30832,30832,30832,30832
Retained Earnings,5946857,5413952,4656134,4250818
Accumulated other comprehensive income,99518,-99738,642216,455899
Total stockholders' equity,5989749,5257248,5246759,4652178
Total liabilities and stockholders' equity,28597566,26912353,26386764,24533222
