Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,701992,168109,162466,2042
Depreciation & amortization,-,331863,346140,288330
Change in working capital,-,-384677,413945,-265591
Inventory,-,-1435803,-,-
Other working capital,-,-1458394,-98164,-1013131
Other non-cash items,-,-54770,492401,347881
Net cash provided by operating activites,-,-61520,801356,367450
Investments in property plant and equipment,-,-1396874,-899520,-1380581
Purchases of investments,-,-228278,-150487,-16103
Sales/Maturities of investments,-,15867,103377,126711
Other investing activites,-,411,-2019,17390
Net cash used for investing activites,-,-478874,-38649,-1247038
Net change in cash,-,-300367,-242051,1729166
Cash at beginning of period,-,3443647,3685698,1956531
Cash at end of period,-,3143280,3443647,3685698
Operating Cash Flow,-,-61520,801356,367450
Capital Expenditure,-,-1396874,-899520,-1380581
Free Cash Flow,-,-1458394,-98164,-1013131
