Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,298000,4983000,6415000,4031000
Depreciation & amortization,5010000,4157000,3538000,3270000
Change in working capital,1348000,-5573000,-4667000,-1370000
Inventory,975000,-1215000,-5070000,-136000
Other working capital,1311000,-5100000,-1255000,4191000
Other non-cash items,476000,302000,175000,-58000
Net cash provided by operating activites,7022000,3058000,5797000,6571000
Investments in property plant and equipment,-5711000,-8158000,-7052000,-2380000
Sales/Maturities of investments,591000,565000,456000,8000
Other investing activites,-382000,-609000,-174000,-460000
Net cash used for investing activites,-5488000,-8164000,-6770000,-2825000
Net change in cash,-84000,-1489000,-584000,1023000
Cash at beginning of period,12926000,13182000,13766000,12743000
Cash at end of period,13044000,11693000,13182000,13766000
Operating Cash Flow,7022000,3058000,5797000,6571000
Capital Expenditure,-5711000,-8158000,-7052000,-2380000
Free Cash Flow,1311000,-5100000,-1255000,4191000
