Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-548.429,-749.258,-316.207,-339.902,-155.471
Net cash used for investing activites,-548.429,-749.258,-316.207,-339.902,-155.471
Common stock issued,331.741,555.993,12146,42082,11334
Net cash used privided by (used for) financing activities,33759,32688,12146,42082,11334
Net change in cash,11083,12094,-20919,23715,4045
Cash at beginning of period,18752,7304,28593,4865,839.755
Cash at end of period,29835,18735,7304,28593,4865
Capital Expenditure,-548.429,-749.258,-316.207,-339.902,-155.471
Free Cash Flow,-22676,-20594,-33065,-18367,-7289
