Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,75115,75115,574752,554681,502426
Operating Income or Loss,-,-,-,113912,65852
Interest Expense,53513,53513,36893,31725,33070
Income Before Tax,46459,46459,47709,56956,32926
Income Tax Expense,13430,13430,14400,17852,10282
Income from Continuing Operations,33029,33029,33309,39104,22644
Net Income,33029,33029,33336,39053,22667
Net Income available to common shareholders,33029,33029,33336,39053,22667
Basic EPS,-,0.15,0.15,0.18,0.11
Diluted EPS,-,0.15,0.15,0.18,0.11
Basic Average Shares,-,214813,214813,214813,214813
Diluted Average Shares,-,216726,216327,215168,214813
