Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,9715925,9556363,9136812,8867268
Liabilities,,,,
Total Liabilities,8595528,8538454,8178635,7953952
Stockholders' Equity,,,,
Common Stock,497,497,497,497
Retained Earnings,696214,621203,543713,501761
Accumulated other comprehensive income,-19026,-43174,-22077,-21520
Total stockholders' equity,1120397,1017909,958177,913316
Total liabilities and stockholders' equity,9715925,9556363,9136812,8867268
