Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2172000,2959000,2497000,2184000
Depreciation & amortization,-,2706000,2612000,2535000
Change in working capital,-,-1108000,-1048000,-2075000
Inventory,-,-1516000,-1431000,-1083000
Other working capital,-,319000,1127000,175000
Other non-cash items,-,350000,313000,217000
Net cash provided by operating activites,-,3705000,4334000,2563000
Investments in property plant and equipment,-,-3386000,-3207000,-2388000
Purchases of investments,-,-334000,-103000,-120000
Sales/Maturities of investments,-,1836000,4000,1000
Other investing activites,-,-48000,-185000,-133000
Net cash used for investing activites,-,-1934000,-3476000,-1226000
Net change in cash,-,-272000,836000,-227000
Cash at beginning of period,-,5145000,4308000,4536000
Cash at end of period,-,4872000,5145000,4308000
Operating Cash Flow,-,3705000,4334000,2563000
Capital Expenditure,-,-3386000,-3207000,-2388000
Free Cash Flow,-,319000,1127000,175000
