Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,8797150,7952729,7686431,7355848
Liabilities,,,,
Total Liabilities,6602214,6160927,5973474,5824478
Stockholders' Equity,,,,
Common Stock,206968,205697,204569,203241
Retained Earnings,2080529,1858414,1698613,1568881
Accumulated other comprehensive income,81750,-77956,20170,-15950
Total stockholders' equity,2194936,1791802,1712957,1531370
Total liabilities and stockholders' equity,8797150,7952729,7686431,7355848
