Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,326207,220200,170353
Liabilities,,,
Total Liabilities,4279,646,908
Stockholders' Equity,,,
Common Stock,1972,1441,1113
Total stockholders' equity,321928,219554,169445
Total liabilities and stockholders' equity,326207,220200,170353
