Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-28398,-28398,-24944,-37282,-23331
Acquisitions net,-,932,-,-,-
Purchases of investments,-,-,-1729,-1000,-
Other investing activites,932,932,11069,-,-
Net cash used for investing activites,-26311,-26311,-14460,16623,-7190
Debt repayment,-35000,-35000,-10000,-65000,-215000
Dividends Paid,-59599,-59599,-59599,-55753,-33680
Other financing activites,-19,-19,-2037,-36972,14342
Net cash used privided by (used for) financing activities,-108496,-108496,-90353,-178662,-264823
Net change in cash,-23665,-23665,7074,-45798,-48275
Cash at beginning of period,56052,56052,48978,94776,143051
Cash at end of period,32387,32387,56052,48978,94776
Capital Expenditure,-28398,-28398,-24944,-37282,-23331
Free Cash Flow,82744,82744,86943,78959,200407
