Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4228,-2456,-3387,-1591,-994
Acquisitions net,-1494,-4917,-6263,-1525,-1000
Purchases of investments,263,-207,-,-2090,-468
Sales/Maturities of investments,-,-,-,21,804
Other investing activites,-,-2460,-521,1,-161
Net cash used for investing activites,-5745,-10015,-10171,-5184,-1294
Debt repayment,-,-6999,-2210,-,-
Dividends Paid,-5683,-5801,-5624,-5387,-5020
Net cash used privided by (used for) financing activities,-5422,1448,-3673,-5387,-5020
Net change in cash,-2684,-1662,-3438,-1806,1255
Cash at beginning of period,4840,2296,5733,7539,6284
Cash at end of period,2156,634,2295,5733,7539
Capital Expenditure,-4228,-2456,-3387,-1591,-994
Free Cash Flow,4255,4449,7019,7174,6575
