Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,63465,62178,48775,44825,39082
Interest Expense,4783,4565,2778,3197,4072
Income Before Tax,31240,29921,22422,21243,15055
Income Tax Expense,6183,5901,5701,7076,4901
Income from Continuing Operations,25057,24020,16721,14167,10154
Net Income,25057,24020,16721,14167,10154
Net Income available to common shareholders,25057,24020,16721,14167,10154
Basic EPS,-,2.89,2.28,1.99,1.48
Diluted EPS,-,2.84,2.22,1.92,1.43
Basic Average Shares,-,8319,7335,7137,6843
Diluted Average Shares,-,8468,7526,7380,7105
