Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-5840,-9169,-5325,-1777,-1425
Other investing activites,6164,6678,6679,1950,468.805
Net cash used for investing activites,323.196,-2490,1354,173.56,-954.121
Common stock issued,-,-,0.921,-,-
Net cash used privided by (used for) financing activities,-,-,0.921,750,-
Net change in cash,1304,-2807,2788,880.798,-1588
Cash at beginning of period,2138,4521,1694,810.546,2396
Cash at end of period,3441,1816,4521,1694,810.546
Capital Expenditure,-5840,-9169,-5325,-1777,-1425
Free Cash Flow,-6523,-9486,-3892,-1820,-2058
