Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,11401319,5225277,4452173,4746713
Depreciation & amortization,-,470138,419558,427544
Change in working capital,-,2513339,-1212921,-13360176
Inventory,-,45721,-490146,1305412
Other working capital,-,9186922,1325594,-7810787
Other non-cash items,-,267351,-1097450,417436
Net cash provided by operating activites,-,9842906,1856545,-7141022
Investments in property plant and equipment,-,-655984,-530951,-669765
Acquisitions net,-,-,-329400,-
Purchases of investments,-,-12324,-17989,-15843
Sales/Maturities of investments,-,-,6000,125600
Other investing activites,-,-16114,47300,-8055
Net cash used for investing activites,-,-681490,-944655,-561508
Net change in cash,-,7243682,-1083842,-9145940
Cash at beginning of period,-,9456464,10540307,19686247
Cash at end of period,-,16821715,9456464,10540307
Operating Cash Flow,-,9842906,1856545,-7141022
Capital Expenditure,-,-655984,-530951,-669765
Free Cash Flow,-,9186922,1325594,-7810787
