Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-5035,-5468,-7238,-3553
Net cash used for investing activites,-4785,-5218,-7238,-3553
Debt repayment,-,-,-,-4900
Common stock issued,-,-,-,35000
Common stock repurchased,-,-,-,-3624
Dividends Paid,-13423,-11434,-10001,-3640
Other financing activites,-,-575.968,-,-
Net cash used privided by (used for) financing activities,-14610,-12010,-10001,22836
Net change in cash,18549,-15156,10590,30219
Cash at beginning of period,15533,42618,32028,1808
Cash at end of period,34082,27462,42618,32028
Capital Expenditure,-5035,-5468,-7238,-3553
Free Cash Flow,32909,-3396,20591,7384
