Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,508782,402682,494185,440895
Liabilities,,,,
Total Liabilities,60688,30649,65687,58588
Stockholders' Equity,,,,
Common Stock,14218,14192,14192,14192
Total stockholders' equity,448094,372033,428498,382307
Total liabilities and stockholders' equity,508782,402682,494185,440895
