Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-118.824,-278.727,-19.635,-,-
Net cash used for investing activites,-118.824,-278.727,-19.635,-,5.609
Common stock issued,-,105.231,1001,-,-
Common stock repurchased,-,-25.156,-93.821,-,-
Net cash used privided by (used for) financing activities,-,80.075,907.379,-,-
Net change in cash,-397.213,-414.618,335.426,-464.693,-708.602
Cash at beginning of period,4022,4220,3885,4350,4858
Cash at end of period,3625,3806,4220,3885,4350
Capital Expenditure,-118.824,-278.727,-19.635,-,-
Free Cash Flow,-397.213,-494.693,-571.953,-464.693,-714.211
