Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,2148916,1786469,1622734,1158960
Liabilities,,,,
Total Liabilities,1906940,1604207,1450005,1046203
Stockholders' Equity,,,,
Common Stock,11229,9484,9515,7102
Retained Earnings,60198,45721,33203,26227
Accumulated other comprehensive income,1891,-3076,-1571,-2071
Total stockholders' equity,241976,182262,172729,112757
Total liabilities and stockholders' equity,2148916,1786469,1622734,1158960
