Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6156295,5817114,5368952,4543615
Depreciation & amortization,-,700313,551625,493240
Change in working capital,-,-1744717,268475,-160207
Inventory,-,25337,-60187,-39267
Other working capital,-,5160993,6246524,4826555
Other non-cash items,-,58373,-38194,-4458
Net cash provided by operating activites,-,5461349,6457452,5115370
Investments in property plant and equipment,-,-300356,-210928,-288815
Acquisitions net,-,-24000,-5921345,-
Purchases of investments,-,-200605,-127600,-2316984
Sales/Maturities of investments,-,128831,421898,4110392
Other investing activites,-,-16317,15433,-4056
Net cash used for investing activites,-,-412447,-5822542,1500537
Net change in cash,-,513956,-2707682,3932931
Cash at beginning of period,-,22168026,24875708,20942776
Cash at end of period,-,22681982,22168026,24875708
Operating Cash Flow,-,5461349,6457452,5115370
Capital Expenditure,-,-300356,-210928,-288815
Free Cash Flow,-,5160993,6246524,4826555
