Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-658.885,-709.23,-1052,-3112,-2399
Acquisitions net,-,-,-,-,-4294
Other investing activites,-,-,-233.008,-,-
Net cash used for investing activites,-690.885,-709.23,-1285,-3112,-6693
Common stock issued,-,-,1432,-,9500
Common stock repurchased,-,-,-168.358,-,-
Net cash used privided by (used for) financing activities,-,-,1264,-,9500
Net change in cash,729.295,1215,1219,-2324,1205
Cash at beginning of period,3336,2476,1256,3581,2375
Cash at end of period,4066,3690,2476,1256,3581
Capital Expenditure,-658.885,-709.23,-1052,-3112,-2399
Free Cash Flow,880.63,1215,188.764,-2324,-4000
