Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3732000,3567000,3884000,5876000
Depreciation & amortization,-,7742000,8544000,9213000
Change in working capital,-,-1396000,-329000,-1017000
Inventory,-,-671000,417000,16000
Other working capital,-,612000,7031000,4565000
Other non-cash items,-,-1136000,-457000,-1437000
Net cash provided by operating activites,-,10246000,12582000,10957000
Investments in property plant and equipment,-,-9634000,-5551000,-6392000
Acquisitions net,-,-1071000,-,-
Purchases of investments,-,-2056000,-4477000,-5001000
Sales/Maturities of investments,-,1516000,6438000,3559000
Other investing activites,-,-1020000,-1104000,-787000
Net cash used for investing activites,-,-12212000,-4681000,-8615000
Net change in cash,-,-4674000,4932000,-574000
Cash at beginning of period,-,63852000,58919000,59494000
Cash at end of period,-,59177000,63852000,58919000
Operating Cash Flow,-,10246000,12582000,10957000
Capital Expenditure,-,-9634000,-5551000,-6392000
Free Cash Flow,-,612000,7031000,4565000
