Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1591,-1823,-709.587,-1003,-74.631
Sales/Maturities of investments,-,-,42.916,-,-
Net cash used for investing activites,-1606,-1823,-636.671,-1003,-74.585
Debt repayment,-,-,-,-200,-
Common stock issued,-,1054,3350,3484,-
Common stock repurchased,-144.926,-112.679,-248.968,-204.555,-
Net cash used privided by (used for) financing activities,1309,941.041,3101,3125,155
Net change in cash,-1154,-1558,1016,1026,-21.017
Cash at beginning of period,1175,2101,1085,55.765,78.724
Cash at end of period,21.28,543.079,2101,1085,55.765
Capital Expenditure,-1591,-1823,-709.587,-1003,-74.631
Free Cash Flow,-2448,-2499,-2158,-2098,-176.063
