Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2666,-1701,-56.005,-116.802,-40.627
Purchases of investments,-,-50,-,-,-
Other investing activites,-,-10.226,-,-,-
Net cash used for investing activites,-2716,-1761,-56.005,-116.802,-40.627
Debt repayment,-,-136.844,-,-,-
Common stock issued,-,7513,-,-,-
Common stock repurchased,-,-553.065,-,-,-
Other financing activites,-,-34.463,-,-,-
Net cash used privided by (used for) financing activities,-,6906,-,-,-
Net change in cash,-432.189,3791,-868.223,-567.274,-333.003
Cash at beginning of period,2548,423.339,1292,1859,2192
Cash at end of period,2116,4214,423.339,1292,1859
Capital Expenditure,-2666,-1701,-56.005,-116.802,-40.627
Free Cash Flow,-3216,-3055,-868.223,-567.274,-333.003
